epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8329,0,44.9817,0,0,0,0,0,0,15.0071,0,0.00027151,0.00027151,0.00027151
2,194.35,0,5.7946,0,0,0,0,0,0,5.0771,0,0.000446963,0.000446963,0.000446963
3,297.748,0,0.43143,0,0,0,0,0,0,5.50286,0,0.000509238,0.000509238,0.000509238
4,400.125,0,0.01714,0,0,0,0,0,0,2.59599,0,0.000458337,0.000458337,0.000458337
5,503.157,0,0.00427,0,0,0,0,0,0,1.03427,0,0.00029426,0.00029426,0.00029426
