epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0485,3.57985,2.40638,4.51175,0.60353,0.22694,0.18423,0.0453,3.50373,1.60217,4.59122,0.00027151,0.00027151,0.00027151
2,187.319,2.90963,2.16479,2.67568,0.76529,0.44446,0.40301,0.08943,2.8441,1.51327,2.65217,0.000446963,0.000446963,0.000446963
3,288.992,2.15393,2.0051,1.92166,0.56797,0.42745,0.35099,0.1261,2.26599,2.28866,2.09706,0.000509238,0.000509238,0.000509238
4,392.693,1.93731,1.87276,1.80166,0.56778,0.43235,0.38984,0.12893,2.19874,2.45473,2.09156,0.000458337,0.000458337,0.000458337
5,497.434,1.80666,1.97246,1.74286,0.54901,0.49542,0.45956,0.16083,2.06405,2.37944,2.03545,0.00029426,0.00029426,0.00029426
