epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16573.7,0.48831,0.49358,1.00914,0.96783,0.96734,0.99104,0.9909,0.11891,0.19533,0.98898,0.00492625,0.00492625,0.00492625
43,16919.7,0.4893,0.48601,1.00967,0.96704,0.9683,0.98986,0.98961,0.13543,0.20409,0.99169,0.0048025,0.0048025,0.0048025
44,17325.6,0.48244,0.48231,1.00862,0.96933,0.96834,0.98986,0.98975,0.13318,0.19189,0.99226,0.00467875,0.00467875,0.00467875
45,17934.4,0.47988,0.48663,1.00518,0.96327,0.97066,0.99054,0.99045,0.12444,0.19163,0.99133,0.004555,0.004555,0.004555
46,18521.8,0.48196,0.47804,1.00862,0.96962,0.97016,0.99069,0.99061,0.12604,0.18472,0.99034,0.00443125,0.00443125,0.00443125
47,18911.3,0.46601,0.46449,0.99789,0.96819,0.97098,0.99086,0.99076,0.13257,0.18863,0.99093,0.0043075,0.0043075,0.0043075
48,19266.1,0.46833,0.46569,1.0009,0.96869,0.96788,0.9899,0.98979,0.13598,0.19153,0.99206,0.00418375,0.00418375,0.00418375
49,19625,0.47076,0.46883,1.00364,0.96693,0.97179,0.9902,0.99011,0.13368,0.18917,0.99157,0.00406,0.00406,0.00406
50,19985,0.45409,0.44882,0.9973,0.96857,0.97324,0.99048,0.99039,0.12872,0.1821,0.99119,0.00393625,0.00393625,0.00393625
51,20385.2,0.45193,0.45207,0.9927,0.97325,0.97018,0.99094,0.99077,0.12838,0.17981,0.9901,0.0038125,0.0038125,0.0038125
52,20896.9,0.45168,0.44655,0.99416,0.96958,0.97358,0.99104,0.99098,0.11914,0.17519,0.98913,0.00368875,0.00368875,0.00368875
53,21252.4,0.43998,0.43826,0.9855,0.97004,0.97298,0.99106,0.99099,0.12009,0.17707,0.98909,0.003565,0.003565,0.003565
54,21607.2,0.43856,0.4388,0.98703,0.97054,0.97297,0.99094,0.99087,0.11235,0.17643,0.98833,0.00344125,0.00344125,0.00344125
55,21961.1,0.44022,0.43083,0.99051,0.97145,0.97241,0.9908,0.99075,0.1092,0.17926,0.98788,0.0033175,0.0033175,0.0033175
56,22320.2,0.4307,0.43392,0.98372,0.97867,0.9657,0.99104,0.99098,0.10867,0.18321,0.98787,0.00319375,0.00319375,0.00319375
57,22670.9,0.43038,0.42447,0.98425,0.97697,0.96798,0.99094,0.99088,0.10987,0.18271,0.98817,0.00307,0.00307,0.00307
58,23019,0.42936,0.42316,0.98594,0.97129,0.97223,0.99063,0.99057,0.10987,0.17938,0.98781,0.00294625,0.00294625,0.00294625
